,0,1,2,3,4,5
95,0.012,0.016,0.037,3.5808272092788846,8.207555910456557,0.08392334
96,0.548,1.123,1.076,1.1108262199700671,1.9373939085805416,0.305652618
97,0.011,0.011,0.05,0.9217492198379065,1.821175878258244,0.113964081
98,0.013,0.006,0.035,1.0131388253759335,1.7581871333236188,0.037431717
99,0.02,0.213,0.329,2.8404897415865245,5.657172708182123,0.198364258
100,0.169,0.088,0.244,7.9130998728351365,13.669401988192922,0.162124634
101,0.296,1.715,1.785,2.0757195347271304,3.745124868859443,0.402450562
102,0.012,0.021,0.058,2.0126561218090377,3.638264458972649,0.144720078
103,0.013,0.009,0.046,2.203981528878051,3.29595286780129,0.052690506
104,0.29,2.002,1.205,1.35781026278949,2.327314243934836,0.322580338
105,0.011,0.02,0.048,1.3756503362055326,2.370089457985487,0.126600266
106,0.012,0.01,0.043,1.405264401332802,2.220832063070447,0.042200089
107,0.524,1.475,1.606,1.5329348016993602,2.4557126488069354,0.35238266
108,0.012,0.017,0.048,1.4216515195744663,2.4282318900335094,0.131130219
109,0.011,0.007,0.045,1.5607902929080877,2.5660484529750063,0.044822693
110,0.585,2.342,2.005,1.723606796594554,3.7463926733713957,0.378847122
111,0.012,0.022,0.047,1.7603960610937768,3.231742989621704,0.151395798
112,0.012,0.01,0.051,2.2170826320232067,3.770876782725038,0.053167343
113,0.28,1.229,1.229,1.2722276270632695,2.365098673932327,0.322818756
114,0.01,0.015,0.039,1.2063571925064032,2.2704315210220365,0.123739243
115,0.012,0.008,0.049,1.1104003741440682,2.295138117235036,0.042200089
116,0.584,1.398,1.479,1.3484428916706925,2.3356833517122504,0.293254852
117,0.011,0.015,0.039,1.2410700868431475,2.4890659245225195,0.12922287
118,0.01,0.008,0.026,1.380568202520349,2.4926549586246356,0.0436306
119,0.52,1.315,1.487,1.5066115504362838,2.5380624783676646,0.306129456
120,0.013,0.015,0.048,1.4277352842655997,2.1525824297650025,0.126123428
121,0.013,0.007,0.05,1.4132016667778684,2.261836365277843,0.043153763
122,0.562,1.348,1.497,1.321075116220526,2.273317995446777,0.293970108
123,0.011,0.016,0.053,1.3902217249713091,2.3673207376659917,0.127077103
124,0.011,0.007,0.038,1.4536792662379994,2.4059139639269738,0.042915344
125,0.534,2.08,1.992,1.8938120049462368,3.46173386959339,0.385522842
126,0.011,0.024,0.053,1.6727127689185404,3.734396705856517,0.14424324
127,0.012,0.009,0.037,1.6784818623335267,3.237886290887489,0.052452087
128,0.062,1.144,1.224,8.107814553251288,14.847119718722332,0.35238266
129,0.378,1.713,1.653,1.906747050816001,3.4549611863491547,0.400066376
130,0.013,0.023,0.123,1.7113637439948395,3.284161698258631,0.140428543
131,0.013,0.01,0.042,1.825134454083813,3.7066102478296745,0.052928925
132,0.155,0.098,0.251,7.640899234578803,13.746196006408116,0.163316727
133,0.297,1.709,1.754,2.1093898135717333,3.293908545757365,0.401735306
134,0.013,0.022,0.055,2.3397498907774175,3.826922503865953,0.141382217
135,0.013,0.011,0.028,2.0863285441891204,3.8215772949351132,0.054121017
136,0.292,1.325,1.43,1.5467416187956686,3.0974258359679006,0.394821167
137,0.012,0.017,0.037,1.8176843969200376,3.137657253947703,0.133275986
138,0.012,0.008,0.048,1.8046691681409042,2.901608923019557,0.047445297
139,0.726,1.83,2.146,1.8949439207339764,3.175947267768522,0.391244888
140,0.012,0.02,0.051,1.6944147311746358,2.967101366052211,0.134468079
141,0.011,0.009,0.027,1.5979503604603662,3.2019086257965834,0.047683716
142,0.777,2.331,2.44,1.8936162888830612,3.3406738843638246,0.426769257
143,0.012,0.022,0.052,2.114936412340066,3.892367535890457,0.143527985
144,0.014,0.01,0.028,2.1258248088323746,3.699606185470051,0.053405762
145,0.337,1.406,1.521,1.4873220253599777,2.7852098103035265,0.396728516
146,0.013,0.019,0.054,1.4133283259341416,2.837437526899346,0.134706497
147,0.012,0.008,0.039,1.5949212205282555,3.2405888428092013,0.049114227
148,0.71,1.976,2.094,1.4138931003620712,2.9412246912320645,0.383377075
149,0.013,0.017,0.049,1.9599677330112149,2.688157880089013,0.135421753
150,0.012,0.008,0.042,1.8596145164664457,3.2242406450469963,0.048398972
151,0.654,1.34,2.129,1.7033470588704889,2.673866960737703,0.393867493
152,0.01,0.012,0.054,1.5588694624149237,2.959215567361291,0.13756752
153,0.011,0.003,0.038,1.785589747641416,3.0929664470511096,0.05030632
154,0.707,0.768,2.062,1.89182405627379,2.9485686262240067,0.380754471
155,0.012,0.009,0.053,1.4794814924778406,3.1691509567684513,0.135660172
156,0.012,0.003,0.043,1.6488478240010982,3.0490655117772087,0.048875809
157,0.67,0.884,2.406,2.264748982308087,3.4921199867948785,0.439167023
158,0.012,0.009,0.04,2.179686996336414,3.2450082342711553,0.144004822
159,0.012,0.004,0.027,1.9010953462194653,3.456309451163525,0.060796738
160,0.06,0.195,1.175,7.048382292334052,13.384932865946833,0.362157822
161,0.291,0.625,1.684,2.039455601131184,3.533014461002362,0.400543213
162,0.012,0.007,0.061,2.1666084038745757,3.607206735143859,0.14090538
163,0.012,0.004,0.043,2.0126960920772468,3.848778764517563,0.052213669
164,0.155,0.105,0.235,7.843694432898737,13.968606008171447,0.163078308
165,0.363,0.662,1.701,2.3534304303371503,3.309779209241649,0.399827957
166,0.012,0.008,0.07,1.7678607240466917,3.6454498125977155,0.144720078
167,0.012,0.004,0.029,2.235368373644196,3.7161495148055566,0.052690506
168,0.289,1.221,1.455,1.907454020794862,2.9702563263922674,0.39434433
169,0.014,0.022,0.049,1.8590002351585986,3.2381595777565813,0.133991241
170,0.012,0.009,0.043,1.6309115144091215,2.9852879048798884,0.047445297
171,0.641,0.99,2.143,1.5990162686611058,3.106758101248093,0.393390656
172,0.01,0.007,0.063,1.3861066747292974,2.840125552558762,0.135421753
173,0.012,0.004,0.039,1.9656906805743504,2.9502614972053394,0.048875809
174,0.713,0.887,2.486,1.7472295828490993,3.369537885172775,0.425338745
175,0.014,0.009,0.065,2.1447686898167895,3.7669731819095533,0.153303146
176,0.011,0.003,0.041,2.3661082138883742,3.787726172963675,0.053405762
177,0.392,0.5,1.456,1.6417683226195718,2.8218453522970366,0.396490097
178,0.011,0.007,0.049,1.7346976082516183,2.8310653395479592,0.134944916
