,0,1,2,3,4,5
219,1.158,1.338,2.261747204,57.0375,114.075,0.626564026
220,1.057,5.515,12.25990103,19.0125,38.025,0.725269318
221,0.027,0.206,0.468016332,19.0125,38.025,0.400066376
222,0.018,0.122,0.218265532,19.0125,38.025,0.200271606
223,2.193,9.903,21.01817779,38.025,76.05,1.955747604
224,0.081,0.341,0.632956075,38.025,76.05,0.65279007
225,0.021,0.288,0.495673633,38.025,76.05,0.3657341
226,0.709,3.41,7.306640259,19.0125,38.025,0.520467758
227,0.018,0.206,0.410075379,19.0125,38.025,0.38933754
228,0.02,0.131,0.216967382,19.0125,38.025,0.199556351
229,1.611,9.981,19.16958083,38.025,76.05,1.956224442
230,0.03,0.344,0.727251395,38.025,76.05,0.663757324
231,0.019,0.294,0.595562548,38.025,76.05,0.366687775
232,0.727,3.418,5.328110257,19.0125,38.025,0.51856041
233,0.041,0.201,0.360066523,19.0125,38.025,0.385046005
234,0.019,0.137,0.286220105,19.0125,38.025,0.199556351
235,1.588,9.87,15.2400281,38.025,76.05,1.960277557
236,0.019,0.352,0.50008871,38.025,76.05,0.66447258
237,0.022,0.329,0.434438044,38.025,76.05,0.365972519
238,5.892,7.355,13.14108178,37.87646485,75.75292969,1.329898834
